 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.001850,0.001720,0.002218,0.003745,0.009728,0.034113,0.130164,0.492542,1.461326,4.133655,13.228555,
2,0.001991,0.002045,0.002358,0.003024,0.006033,0.018142,0.066302,0.259558,0.890861,2.640307,7.167141,
4,0.002265,0.002461,0.002383,0.002717,0.005982,0.010340,0.035008,0.139664,0.808386,1.559848,3.817762,
8,0.018735,0.049587,0.012639,0.006532,0.004530,0.014323,0.022312,0.071027,0.398447,0.947761,2.521531,
16,0.017232,0.010270,0.087604,0.004339,0.005163,0.023239,0.059853,0.042366,0.207334,0.915404,2.096422,
32,0.053117,0.036539,0.068606,0.056465,0.043565,0.093061,0.043182,0.096285,0.210420,0.749809,1.747372,
64,0.007172,0.008634,0.011353,0.011455,0.011399,0.013589,0.021389,0.043320,0.146035,0.515644,1.453104,
128,0.016762,0.019409,0.020241,0.021591,0.020765,0.022556,0.028694,0.054105,0.150650,0.482799,1.292721,
256,0.038877,0.042167,0.042625,0.042453,0.042540,0.043301,0.049639,0.072725,0.160238,0.489431,1.459026,
512,0.058113,0.058201,0.058147,0.058497,0.057694,0.059684,0.064090,0.086557,0.170891,0.508208,1.436047,
1024,0.101300,0.103600,0.104410,0.109055,0.102945,0.106139,0.107092,0.124874,0.209073,0.535789,1.376160,
2048,0.221587,0.269728,0.276644,0.269485,0.272485,0.272899,0.273171,0.325732,0.374851,0.634506,1.413767,
