,1,2,4,6,8,10,16,24,32,46,64,128
2,     5.325,     9.850,    11.127,    22.231,    26.395,    29.959,    27.693,    42.221,    40.051,    44.095,    44.735,    14.788,
32,     5.825,    11.713,    14.314,    32.780,    42.137,    51.379,    48.463,   103.993,    90.216,   110.131,   122.062,   146.869,
128,     5.546,    11.855,    14.563,    34.405,    43.224,    54.030,    53.635,   111.815,    96.396,   128.614,   132.646,   163.316,
256,     5.067,    11.855,    14.771,    33.659,    44.369,    54.634,    53.758,   113.865,    95.610,   131.115,   134.227,   166.751,
512,     5.919,    11.589,    14.709,    31.755,    43.926,    54.030,    53.799,   113.865,    98.418,   132.142,   135.325,   150.804,
1024,     5.951,    11.775,    14.210,    31.155,    45.108,    54.634,    55.019,   101.885,    99.602,   133.980,   136.638,   169.870,
