100, 3.56101989746, 3.97801399231, 2.12907791138, 1.67489051819	    2.83575057983
200, 5.64193725586, 5.44404983521, 5.34796714783, 5.32102584839	    5.43874502182
300, 10.8580589294, 10.8270645142, 10.8828544617, 10.8499526978	    10.8544826508
400, 17.7569389343, 17.0180797577, 17.0958042145, 17.0431137085	    17.2284841537
500, 25.9609222412, 26.19099617, 26.0350704193, 26.5228748322	    26.1774659157
600, 36.8092060089, 37.1191501617, 36.8220806122, 38.3801460266	    37.2826457024
700, 48.6080646515, 48.7530231476, 48.3639240265, 47.868013382	    48.3982563019
800, 61.5110397339, 61.6009235382, 61.4368915558, 63.2491111755	    61.9494915009
900, 82.4959278107, 79.6720981598, 83.6420059204, 79.7650814056	    81.3937783241
1000, 94.6588516235, 95.5979824066, 99.8229980469, 96.7400074005	96.7049598694
1100, 116.071939468, 117.681026459, 123.887777328, 124.678850174	120.579898357
1200, 144.906997681, 141.06297493, 142.937898636, 141.812086105	    142.679989338
1300, 166.743993759, 167.34790802, 169.741153717, 162.039995193	    166.468262672
1400, 189.994096756, 202.014923096, 190.659046173, 191.503047943	193.542778492
1500, 209.388971329, 210.363864899, 213.254213333, 213.431119919	211.60954237
1600, 243.875026703, 237.954854965, 245.505094528, 239.922046661	241.814255714
1700, 276.721000671, 270.007133484, 269.921064377, 270.236968994	271.721541882
1800, 313.176870346, 316.793203354, 322.122097015, 325.903177261	319.498836994
1900, 343.428134918, 341.651916504, 335.641860962, 343.560218811	341.070532799
2000, 373.887062073, 377.043962479, 384.745836258, 377.475976944	378.288209438
