 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.000014,0.000050,0.000661,0.002638,0.007612,0.028488,0.106055,0.427319,1.697210,6.802844,27.148214,
2,0.000086,0.000096,0.000407,0.001405,0.005341,0.017545,0.054634,0.216374,0.852449,3.397734,13.573966,
4,0.000091,0.000127,0.000298,0.000780,0.002752,0.010670,0.031017,0.114551,0.445616,1.736193,7.038790,
8,0.023952,0.025129,0.023521,0.028840,0.025995,0.028224,0.048559,0.123961,0.382791,1.245779,4.587875,
16,0.000529,0.000560,0.001044,0.001837,0.003830,0.011041,0.024644,0.070103,0.260651,0.987048,3.902804,
32,0.001139,0.001128,0.001376,0.001779,0.004698,0.009058,0.023332,0.068455,0.243336,0.906439,3.686501,
