 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.002275,0.574654,7.164249,17.555110,27.024988,30.464981,32.324079,32.667004,47.711100,67.065356,85.086639,
2,0.001846,0.500929,7.330859,21.758720,43.038777,58.019425,63.519328,65.049635,72.702907,95.153204,139.924696,
4,0.001779,0.386273,7.239726,23.481796,60.682799,101.832562,122.304702,125.660716,137.414799,186.186466,264.950697,
8,0.000693,0.090893,1.445569,16.246699,59.069068,105.438399,118.102446,224.453112,250.345513,301.002032,421.298261,
16,0.000281,0.071870,1.390013,4.265045,11.118644,149.863581,121.037435,347.836643,321.700026,357.217613,532.849234,
32,0.000089,0.016706,0.122432,1.752400,4.982403,27.094247,97.135365,188.101931,300.255028,402.828172,640.542010,
64,0.000473,0.090000,1.558477,5.752750,25.001401,79.305525,190.790136,334.953681,476.743319,464.834538,767.116206,
128,0.000190,0.047048,0.825350,3.309230,12.292875,45.663626,138.681671,321.230458,459.168654,557.616353,807.561417,
256,0.000094,0.024389,0.377051,1.572474,6.110740,24.701327,86.903317,222.852333,427.807329,505.159005,750.363573,
512,0.000070,0.017593,0.278767,1.153277,4.579505,18.012453,62.903822,192.375233,381.125085,545.132832,761.530824,
1024,0.000061,0.009954,0.149707,0.624688,2.486283,10.038452,33.184602,132.155074,323.487978,503.267690,786.204245,
2048,0.000019,0.003743,0.060331,0.241384,0.959159,3.845303,15.224950,50.505309,187.325786,411.196761,680.786013,
