 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.016833,0.015576,0.015950,0.017385,0.023248,0.047258,0.143367,0.526347,2.061007,8.184758,32.689482,
2,0.018874,0.018823,0.020599,0.019711,0.022599,0.034960,0.082686,0.274964,1.043287,4.106642,16.361715,
4,0.020863,0.020793,0.024036,0.021835,0.022825,0.029289,0.053469,0.148960,0.533167,2.068005,8.193613,
8,0.025319,0.028738,0.025696,0.025056,0.026155,0.029376,0.042864,0.089535,0.280367,1.049028,4.114330,
16,0.036572,0.032230,0.033928,0.032447,0.034593,0.033793,0.040836,0.064254,0.160841,0.543595,2.088836,
32,0.043066,0.042450,0.046319,0.046044,0.044832,0.044848,0.048932,0.065183,0.118231,0.327953,1.139443,
64,0.076146,0.072799,0.074662,0.073657,0.069108,0.072622,0.076239,0.082812,0.115699,0.234654,0.729214,
128,0.129486,0.126249,0.125776,0.130462,0.135278,0.133449,0.130647,0.130698,0.152618,0.229319,0.517130,
256,0.376417,0.245214,0.351985,0.250596,0.248082,0.255366,0.334259,0.254874,0.333089,0.448385,0.606766,
512,0.676683,0.608573,0.592857,0.582771,0.574876,0.586517,0.589031,0.584885,0.601161,0.666206,0.881615,
1024,1.766709,1.581920,1.578049,1.630142,1.760642,1.567952,1.576248,1.592000,1.670178,1.693296,1.923901,
2048,4.473115,4.557231,4.487742,4.601376,4.424314,4.472224,4.431260,Seg-fault,4.341906,Seg-fault,4.610805,4.657696,4.688308,

