 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659, ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
2,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
4,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
8,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
16,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
32,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
64,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
128,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
256,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
512,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
1024,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
2048,54.000000,14.908924,14.266938,14.164144,14.113179,14.087804,14.075143,14.068819,14.065659,14.064079,14.063290,
