 ,2,32,128,256,512,1024,2048,4096,8192,16384,32768
1,0.000236,0.066788,1.021319,3.787762,11.242680,22.199126,29.276103,31.883664,32.570210,32.794665,32.845733,
2,0.000210,0.055229,0.857932,3.325525,11.583927,29.816254,49.975530,61.251251,64.476303,65.389642,65.622690,
4,0.000168,0.047666,0.747821,3.124003,11.361995,35.998809,78.950329,112.436537,126.012996,129.970864,131.005777,
8,0.000139,0.042133,0.591268,2.493111,9.938729,35.410432,98.738205,170.797094,215.573508,238.020723,260.857168,
16,0.000120,0.031528,0.509467,2.058872,7.887797,28.005365,101.660730,253.481494,412.404255,490.500781,513.723843,
32,0.000087,0.023106,0.359331,1.452482,5.805542,23.542382,81.865625,265.848407,613.802242,881.245803,998.653035,
64,0.000051,0.014303,0.227470,0.858127,3.368127,14.620582,57.669655,203.342612,576.733893,1118.322156,1377.641505,
128,0.000032,0.008040,0.131245,0.491300,1.940129,8.613875,32.276516,120.111057,420.518616,1158.927009,2034.692066,
256,0.000016,0.002639,0.066006,0.257043,0.682168,4.225060,16.505993,46.079471,245.117869,615.957399,1771.152436,
512,0.000006,0.001750,0.028079,0.110441,0.439260,1.839253,7.160423,27.842852,109.360700,400.582322,1197.378303,
1024,0.000003,0.000649,0.010946,0.041650,0.151619,0.683605,2.575264,10.456625,42.319205,143.492216,606.238488,
2048,0.000001,0.000229,Seg-Fault,0.003506,0.014074,0.056671,0.232916,0.892380,3.836917,15.283523,58.706843,231.947705,

