,1,2,4,6,8,10,16,24,32,46,64,128
2,     5.186,     9.939,    16.022,    19.304,    23.042,    30.842,    36.235,    33.962,    37.782,    40.805,    44.799,   924.384,
32,     5.639,    11.037,    21.298,    29.650,    29.843,    50.669,    72.321,    69.718,    79.155,    85.363,   114.514,   938.250,
128,     5.546,    11.220,    22.297,    32.418,    41.737,    51.200,    76.990,    66.553,    93.451,    96.064,   122.434,   932.036,
256,     5.668,    11.277,    21.963,    32.618,    42.391,    52.671,    83.080,    70.510,    92.408,    99.075,   129.058,   965.609,
512,     5.639,    11.205,    19.247,    32.780,    42.137,    52.171,    76.654,    74.701,    94.265,    97.640,   129.772,   900.720,
1024,     5.668,    11.148,    22.184,    23.924,    43.277,    51.925,    79.513,    71.272,    93.513,    96.845,   121.325,   965.609,
